timestamp,requests,errors,total_latency_ms,requests_rolling_mean,requests_rolling_std,errors_rolling_mean,errors_rolling_std,latency_rolling_mean
2026-02-01T08:00:00,120,2,3600,,,,,
2026-02-01T08:05:00,135,3,4050,,,,,
2026-02-01T08:10:00,150,4,4800,,,,,
2026-02-01T08:15:00,165,5,5200,142.0,19.0,4.0,1.0,4412.5
2026-02-01T08:20:00,180,7,6100,158.0,19.0,5.0,2.0,5037.5
2026-02-01T08:25:00,170,6,5900,166.0,12.0,6.0,1.0,5500.0
2026-02-01T08:30:00,160,4,5400,169.0,9.0,6.0,1.0,5650.0
2026-02-01T08:35:00,155,3,5100,166.0,11.0,5.0,2.0,5625.0
2026-02-01T08:40:00,145,2,4700,158.0,10.0,4.0,2.0,5275.0
2026-02-01T08:45:00,140,2,4500,150.0,9.0,3.0,1.0,4925.0
2026-02-01T08:50:00,150,3,4800,148.0,6.0,2.0,1.0,4775.0
2026-02-01T08:55:00,165,4,5200,150.0,11.0,3.0,1.0,4800.0
2026-02-01T09:00:00,185,6,6000,160.0,20.0,4.0,2.0,5125.0
2026-02-01T09:05:00,200,8,6700,175.0,22.0,5.0,2.0,5675.0
2026-02-01T09:10:00,210,9,7200,190.0,20.0,7.0,2.0,6275.0
